,Id,Date,Text,State
394694,938879475839913986,2017-12-07,"['needs', 'spread', 'like', 'stopccr']",New York
394948,938878441381941248,2017-12-07,"['watch', 'continue', 'spread', 'across', 'strong', 'winds', 'make', 'containing', 'flames', 'difficult', 'firefighters', 'forecasters', 'say', 'favorable', 'wind', 'forecast', 'still', 'calls', 'potentially', 'dangerous', 'gusts', 'across', 'region', 'thomasfire']",North Carolina
394953,938878432838025223,2017-12-07,"['faria', 'beach', 'residents', 'assess', 'danger', 'firefighters', 'follow', 'thomasfire', 'toward', 'santa', 'barbara', 'county']",California
395707,938875068167229440,2017-12-07,"['least', 'six', 'active', 'burning', 'southern', 'right', 'thats', 'nearly', 'total', 'large', 'december', 'ผาน']",จังหวัดระยอง
395904,938873815450431488,2017-12-07,"['bbc', 'news', 'man', 'saves', 'rabbit']",England
396241,938871906442366976,2017-12-07,"['bbc', 'news', 'man', 'saves', 'rabbit', 'us']",England
396246,938871875060600833,2017-12-07,"['faith', 'humanity', 'restored', 'californiawildfires', 'hero']",England
396832,938868293129121793,2017-12-07,"['californiafires', 'californiawildfires', 'californiawildfire']",England
397046,938867195022540800,2017-12-07,"['raging', 'southern']",Arkansas
397662,938864563818319873,2017-12-07,"['look', 'jawdropping', 'numbers']",England
397743,938864010866380800,2017-12-07,"['southern', 'burn', 'little', 'containment', 'conditions', 'worsen', 'abc', 'news', 'weather', 'cooperating', 'hundreds', 'officials', 'trying', 'contain', 'flames', 'region']",England
397880,938863269602824192,2017-12-07,"['spread', 'thousands', 'evacuated', 'skirball', 'forced', 'hundreds', 'residents', 'wooded', 'hills', 'near', 'affluent', 'belair', 'neighborhood', 'evacuate', 'charred', 'acres']",England
398162,938861982278737921,2017-12-07,"['winds', 'pose', 'extreme', 'danger', 'los', 'angeles']",England
398287,938861433655263232,2017-12-07,"['w', 'eagles', 'last', 'resort', 'words', 'call', 'something', 'paradise', 'kiss', 'goodbye', 'certainly', 'happening', 'causing', 'evacuation', 'mulholland', 'drive', 'sunset', 'boulevard']",England
398292,938861423840583680,2017-12-07,"['goes', 'miami', 'hurricane', 'comes', 'goes', 'start', 'natural', 'disaster']",California
398723,938859671380672512,2017-12-07,"['new', 'seeing', 'world', 'burn', 'around', 'mewishing', 'everyone', 'safety', 'californiawildfires']",California
399162,938857118722957312,2017-12-07,[],California
399227,938856751310323712,2017-12-07,"['hold', 'moments', 'true', 'humanity', 'man', 'stops', 'highway', 'rescue', 'wild', 'rabbit', 'thomas']",Texas
399368,938855821584289792,2017-12-07,"['pray', 'residents', 'path', 'dangerous', 'prayforcalifornia']",Texas
399867,938852456976584705,2017-12-07,"['thinking', 'beautiful', 'ojai', 'today', 'everywhere', 'else', 'affected', 'ojai']",California
400153,938850748028223488,2017-12-07,"['live', 'latest', 'updates']",California
400272,938850084451581952,2017-12-07,"['requesting', 'firefighters', 'western', 'states', 'including', 'montana', 'nevada', 'utah', 'help', 'fight', 'wind', 'driven', 'southern', 'readysetgo', 'thomasfire', 'skirballfire']",California
400300,938849945569890305,2017-12-07,"['images', 'socal', 'wednesday', 'weather', 'losangeles', 'smoke']",California
400519,938848742102282240,2017-12-07,"['cant', 'get', 'videos', 'images', 'seeing', 'thinking', 'people', 'south', 'us']",California
400730,938847684156198912,2017-12-07,"['heart', 'goes', 'friends', 'working', 'southern']",Arizona
400764,938847560948527104,2017-12-07,['careful'],California
400996,938846516915171329,2017-12-07,"['check', 'video', 'weatherchannel']",Georgia
401040,938846200459157505,2017-12-07,"['behavioral', 'health', 'hospital', 'burns', 'spread']",New York
401090,938845969046650880,2017-12-07,"['hey', 'oasis', 'family', 'week', 'southern', 'forced', 'thousands', 'neighbors', 'evacuate', 'homes', 'evacuated', 'home', 'affected', 'need', 'assistance', 'due', 'please', 'email', 'pastoralcareorg', 'photo', 'la', 'times']",California
401702,938842657832435712,2017-12-07,"['giving', 'families', 'affected']",California
401712,938842617080635392,2017-12-07,"['winds', 'pose', 'extreme', 'danger', 'los', 'angeles', 'nothing', 'new', 'excessive', 'coverage', 'calif', 'old', 'ugly', 'nancy', 'pelosi', 'guess', 'libitard', 'politicians', 'worried', 'government', 'handouts']",Texas
401847,938842043891273728,2017-12-07,"['emotional', 'man', 'becomes', 'viral', 'hero', 'rescues', 'rabbit']",New York
402442,938839280759332865,2017-12-07,"['man', 'saves', 'rabbit', 'guy']",England
402501,938839016291549184,2017-12-07,"['lets', 'try', 'want', 'see', 'raise', 'money', 'people', 'whove', 'lost', 'homes', 'goal', 'go', 'help', 'people', 'getting', 'fresh', 'water', 'supplies', 'donate', 'giveback']",Oregon
402558,938838712292700161,2017-12-07,"['video', 'winds', 'pose', 'extreme', 'danger', 'losangeles', 'videos', 'wind', 'climatechange', 'environment', 'pollution', 'southcalifornia']",California
402686,938838130102325248,2017-12-07,"['la', 'help', 'awareness', 'creatingvaluethroughprecision', 'precision', 'community']",California
402748,938837856738594817,2017-12-07,"['send', 'prayers', 'powerful', 'winds', 'threaten', 'whip', 'southern']",Texas
402857,938837295926513664,2017-12-07,[],Maharashtra
402929,938836808615497728,2017-12-07,"['stressed', 'tf', 'people', 'wild', 'animals', 'put', 'danger']",Ohio
402966,938836560149188610,2017-12-07,"['powerful', 'winds', 'threaten', 'whip', 'southern']",Pennsylvania
403926,938831825660559360,2017-12-07,"['thoughts', 'everyone', 'affected', 'southern', 'well', 'sweatnsk', 'activewear', 'wellness']",California
404135,938830684256395266,2017-12-07,"['nasa', 'crews', 'prepare', 'swap', 'places', 'station', 'eyes']",دبي
404429,938829075430477824,2017-12-07,"['creekfire', 'stthomasfire', 'lafires', 'losangeles', 'lacountyfire', 'los', 'angeles']",California
404626,938828021636784128,2017-12-07,"['thinking', 'helpless', 'animals', 'stuck', 'rn', 'makes', 'heart', 'hurt']",Illinois
404659,938827860227137536,2017-12-07,"['winds', 'pushed', 'alert', 'system', 'uncharted', 'territory', 'purple', 'thomasfire', 'venturafire']",California
404846,938826982137020416,2017-12-07,"['special', 'moment', 'face', 'tragedy']",California
404855,938826945873219584,2017-12-07,"['air', 'quality', 'awful', 'toxic', 'hard', 'breathe', 'senate', 'floor', 'white', 'house']",South Carolina
404916,938826694403686401,2017-12-07,"['hey', 'everyone', 'good', 'friend', 'mine', 'affected', 'recent', 'grandmothers', 'home', 'destroyed', 'lost', 'everything', 'anything', 'offer', 'help', 'please', 'donate', 'gofundme', 'help', 'get', 'feet', 'thank', 'u']",New York
405234,938825207908917248,2017-12-07,"['tragic', 'continue', 'take', 'southern']",New York
405786,938822923850256384,2017-12-07,"['appear', 'moved', 'arizona', 'strong', 'high', 'winds', 'helping', 'matters', 'prayers', 'nevada', 'arizona', 'cawx', 'nvwx', 'azwx']",Ohio
405976,938822107118669824,2017-12-07,"['man', 'stops', 'highway', 'rescue', 'wild', 'rabbit', 'thomas', 'ktla']",Minnesota
406047,938821756520890368,2017-12-07,"['watchout', 'wildlife', 'save', 'pets', 'lives', 'dogs', 'cats']",California
406809,938818436876169216,2017-12-07,"['santaanawinds', 'californiawildfires']",South Carolina
407098,938817297921196038,2017-12-07,"['encroach', 'heart', 'los', 'angeles', 'pictures']",จังหวัดเชียงใหม่
407540,938815299234578432,2017-12-07,"['heroes', 'wear', 'capes']",Colorado
407568,938815194062577664,2017-12-07,"['winds', 'pose', 'extreme', 'danger', 'los', 'angeles']",Illinois
408172,938812715954528256,2017-12-07,"['price', 'bitcoin', 'skyrocketing', 'idk', 'im', 'supposed', 'focus', 'work', 'today']",Indiana
408288,938812210687692800,2017-12-07,"['raging', 'tear', 'southern', 'officials', 'warn', 'increasing', 'danger']",Pennsylvania
408552,938811375970914304,2017-12-07,"['stays', 'safe', 'everyone', 'lafires']",Wisconsin
408584,938811229828800513,2017-12-07,[],Kentucky
408611,938811131510083584,2017-12-07,"['new', 'malibu']",District of Columbia
408947,938810104782118913,2017-12-07,"['ap', 'montana', 'crews', 'help', 'bdcnews']",Montana
409709,938807261647867904,2017-12-07,"['psa', 'live', 'near', 'aware', 'wild', 'animals', 'fleeing', 'may', 'show', 'yardsbring', 'animals', 'night', 'let', 'wild', 'animals', 'pass', 'thruput', 'water', 'themtheyre', 'scared', 'lost', 'homescalifornia', 'wildlife']",California
