Id,Date,Text,State
880534391658819584,2017-06-29,"RT @Amica: #Wildfire season is here, with more than 20 fires being reported by @weatherchannel. For more info, visit: https://t.co/WSn0G5fn…",
880534153560694784,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest https://t.co/TCCMfvYpkD,
880531779513274369,2017-06-29,RT @NBCLA: Image: Smoke from a fire at Camp Pendleton almost blocks out the sun. More #CAWildfire photos: https://t.co/LQscM19QKu Credit: E…,
880531432065556481,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880530841922818049,2017-06-29,"Firefighters battle wildfires in Arizona, Utah, California https://t.co/Zupy4sFJRQ #news",
880530563039408130,2017-06-29,"Firefighters battle wildfires in Arizona, Utah, California https://t.co/vjnwUGC0yG - RT and follow @WebAdvisorInfo!",
880530348873883649,2017-06-29,RT @shelbygrad: Southern California is blanketed by the smell of wildfires; here's the latest https://t.co/3E6riHS2ls,
880530337218142208,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880530245081735168,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest https://t.co/3E6riHS2ls,
880530024855617536,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880529789378994176,2017-06-29,RT @NBCLA: Image: Smoke from a fire at Camp Pendleton almost blocks out the sun. More #CAWildfire photos: https://t.co/LQscM19QKu Credit: E…,
880529573229674496,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880528580702330880,2017-06-29,"Retweeted ©ForTheLoveOfWolves® (@xftlowx):

THIS IS SO NOT GOOD!
West On Fire: Dozens of Large Fires Torching... https://t.co/bjUjyTA3BD",
880528567158820864,2017-06-29,"Retweeted ©ForTheLoveOfWolves® (@xftlowx):

THIS IS SO NOT GOOD!
West On Fire: Dozens of Large Fires Torching... https://t.co/SBzNprBDN4",
880527277334814721,2017-06-29,RT @JosephSerna: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/dmMowohhDb https://t.co/Iq2pAm…,
880527041879093248,2017-06-29,"RT @NBCLA: Take a look at some of the fires that have burned in the state this year.
https://t.co/YSleEfl0E0",
880526904654045184,2017-06-29,RT @NBCLA: Map: See where wildfires are burning in California https://t.co/8SGutfSt5V,
880526891945472000,2017-06-29,"RT @NBCLA: Take a look at some of the fires that have burned in the state this year.
https://t.co/YSleEfl0E0",
880526819732193280,2017-06-29,Image: Smoke from a fire at Camp Pendleton almost blocks out the sun. More #CAWildfire photos: https://t.co/LQscM19QKu Credit: Emma York https://t.co/QvHvGiV0ue,
880526554551336960,2017-06-29,Southern California is blanketed by the smell of wildfires. Here's the latest https://t.co/AugKcmBqV4,
880526343045210113,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest https://t.co/rnjXwa1yS5,
880526332857245704,2017-06-29,"Take a look at some of the fires that have burned in the state this year.
https://t.co/YSleEfl0E0",
880525779406290944,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880524870072893440,2017-06-29,"@SenFeinstein California has the capability of finding solutions to preventing wildfires. If it is in NEED of federal assistance, so be it.",
880524837097046016,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880524382615072768,2017-06-29,Yo is it me or is California always experiencing huge wildfires that destroy like half the state? We should do something about that no?,
880524222518382592,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880523776672321536,2017-06-29,Southern California is blanketed by the smell of wildfires. Here's the latest https://t.co/T9hA8wBhlC,
880523542135152640,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880523501412597765,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880522884069834753,2017-06-29,#LosAngeles #California --&gt; Southern California is blanketed by the smell of wildfires; here's the latest https://t.co/IGVAVFWnsN,
880522204622073856,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880522159029862401,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880522158044135424,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880521824504651776,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880521791902433280,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880521564692725760,2017-06-29,RT @LANow: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/XstKQKei4x,
880521497051136002,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880520871814680577,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880520853682651137,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880520763601637376,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880520706835886080,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880520617262436353,2017-06-29,"Wildfires in Arizona, California, Utah force hundreds from their homes https://t.co/YhM4oCou1N",
880519987365937152,2017-06-29,RT @LANow: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/XstKQKei4x,
880519769555849216,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest https://t.co/bs7ZgILAV0,
880519674689069056,2017-06-29,"Wildfires in Arizona, California, Utah force hundreds from their homes https://t.co/YiujiQyxfi",
880519520862871552,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880519405959917568,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880519199520456704,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880519016204447745,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880518995626962944,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880518699383308289,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880518543967625220,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880518508194312192,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest - Los Angeles Times https://t.co/lzz84THMPM,
880518227058491393,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880518076441260032,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880518061928755204,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880517968484081664,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880517548046925824,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880517478824124416,2017-06-29,RT @LANow: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/XstKQKei4x,
880516989659357185,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880516935175344128,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880516931698147328,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880516898324180992,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest https://t.co/RW37y10GLi,
880516796390019072,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880516752613883904,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880516749623349248,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880516664504332288,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880516597793804288,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880516523776917504,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880516511122677761,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880516463609565184,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880516161498206208,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880516154065801217,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880516116363313154,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880516051070468102,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880515983626170368,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880515796056678400,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880515791619334144,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880515779552092160,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880515702154711041,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880515208015474688,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880515188813733888,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880515170061004800,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
