Id,Date,Text,State
748304843874275328,2016-06-29,Video: Wildfires rage in California and Arizona https://t.co/svbh1d8DlW,
748304099863453697,2016-06-29,"RT @EdJoyce: 6/29/2016: 4,000 firefighters working 12 #wildfires throughout #California says @CAL_FIRE https://t.co/EynuXysMBk https://t.co…",
748302727369744385,2016-06-29,Death toll rises to four in California wildfires as bodies found in rural area https://t.co/8UojxmKkQL,
748302726677704705,2016-06-29,End Said to Be Near in Deadly California Wildfire https://t.co/2UTnjVtsiK,
748302368005976065,2016-06-29,RT @MikeHudema: California's #Wildfires Just Tripled in Size: https://t.co/N0U8CbM4Xm #ActOnClimate #climatechange #cdnpoli https://t.co/36…,
748301493741195264,2016-06-29,Check out https://t.co/vcDVREGnXu! create water from air! End Said to Be Near in Deadly California Wildfire https://t.co/cfLzfAn7QC,
748301472027140096,2016-06-29,RT @NBCNews: The end is said to be near for a deadly California wildfire https://t.co/0DcopfqgCu https://t.co/L0qe4tysG9,
748301342318469121,2016-06-29,Death toll rises to four in California wildfires as bodies found in rural area https://t.co/aq35PhLml3,
748300557438197761,2016-06-29,Death toll rises to four in California wildfires as bodies found in rural area - Los Angeles Times https://t.co/ildIseOgFc,
748299148957388800,2016-06-29,★★★★ #videos Wildfires rage in California and Arizona https://t.co/dtWPBU8Eog #cuatroestrellas,
748298530377195520,2016-06-29,Death toll rises to four in California wildfires as bodies found in rural area - Los Angeles Times https://t.co/PMRiei2pCD,
748296730794463232,2016-06-29,"""The Burn"".... https://t.co/zOBXtaDsla",
748296540624687104,2016-06-29,"Fast-moving wildfires fanned by strong, erratic winds and high temperatures are burning in California and Arizona",
748295104947838977,2016-06-29,"#New_York California Today: Wildfires, Earlier Than Ever https://t.co/LxrWeUwgpM https://t.co/8GCabAJhx9",
748293830357712896,2016-06-29,"@latimes 
As Ordinary,Human.
Most Sincere Condolences,
For Family Of Everyone..Who Lost Their Lives,In #Wildfires
#Empathy For #California",
748293776939036672,2016-06-29,Yikes! #California's #wildfires just tripled in size https://t.co/PwVhV5rI9w via @MotherJones @wrgree https://t.co/SrYv6OPZq4,
748293612006318080,2016-06-29,Death toll rises to four in California wildfires as bodies found in rural area: In Northern ... https://t.co/bvsJVCsPR8 #MANDATORY #EVAC,
748293201497251840,2016-06-29,"California Wildfires: 9 Large Fires, 2 Deaths, 100'eds of Homes Destroyed
 https://t.co/X5HPI7bROK",
748293029929189376,2016-06-29,Death toll rises to four in California wildfires as bodies found in rural area - Los Angeles Times https://t.co/iADYQI2ajr,
748292497932091394,2016-06-29,End Said to Be Near in Deadly California Wildfire - https://t.co/odW1Zfu5rz https://t.co/kw6tlzEC1i,
748292327370690560,2016-06-29,Death toll rises to four in California wildfires as bodies found in rural area https://t.co/LSwAZ59tj8,
748291493450780672,2016-06-29,CA: Death toll rises to four in California wildfires as bodies found in rural area https://t.co/G1ajP4EdqX #eatwell,
748290865043509248,2016-06-29,Wildfires rage in California and Arizona https://t.co/1iQgueIYzm,
748290017236131843,2016-06-29,Death toll rises to four in California wildfires as bodies found in rural area https://t.co/bD4Pqkfhbr,
748289294993809408,2016-06-29,RT @NBCNews: The end is said to be near for a deadly California wildfire https://t.co/0DcopfqgCu https://t.co/L0qe4tysG9,
