fire_name,gis_acres,year,alarm_date,cont_date,lat,lon
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.294199757219346,-119.09030355447021
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29419697639085,-119.0903000923631
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29401773261673,-119.08989401702374
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.294519758938925,-119.08320350672143
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.28989873861421,-119.08034970818412
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.28720129466477,-119.0746880311902
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.288257403567364,-119.07472416771914
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.290519473197456,-119.07520229872407
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.28979418681298,-119.07388231694053
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.28692413971398,-119.07304245054034
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.28777704040958,-119.07231372819871
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.28770738669619,-119.07075913610738
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.287954442732065,-119.06919465446306
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.28924718365088,-119.06954401197201
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.28852852005079,-119.07123573009484
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29020536105135,-119.07073600179386
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29352995932969,-119.06964308626637
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29432707780163,-119.07307564239179
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.299669617833295,-119.07659562256065
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29978340612081,-119.07269283970649
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.296079350599875,-119.06837810832768
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.294197703695914,-119.06597675796131
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29320811180695,-119.06399199501976
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29219065701334,-119.0613720746633
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29097067170081,-119.0599905699609
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.295127558024994,-119.06247708061619
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29424915828429,-119.05958486921901
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29720534854214,-119.05705721931697
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.30040740560554,-119.05848099514338
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.30288693366687,-119.05840411193148
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.298254637104435,-119.05315681071012
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.295409906110585,-119.0533490187399
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29335324265603,-119.0495432826825
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29219824639962,-119.04718040266819
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.28947556760633,-119.04728780524356
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.2882971246421,-119.04797743649728
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.28567305374902,-119.04572900993502
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29030636470933,-119.04339924182206
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29146848807645,-119.04123089737242
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29203110681866,-119.03882712245307
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.293342905172224,-119.03847410969927
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29350286106056,-119.03467801615813
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29264414575928,-119.02928067831805
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29560388795437,-119.02951420525761
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29676135838998,-119.03058883467918
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.299229911512356,-119.03052171884934
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.301297586116696,-119.0295457253443
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.303947045463175,-119.02794138455252
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.304559660550915,-119.02806288708459
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.30370867111295,-119.0268636200106
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.30227608587678,-119.02662923967152
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.30286244902355,-119.02624368903977
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.302656334719835,-119.02353928392748
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.30018416440259,-119.02242650575076
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.2945051550056,-119.02377725303613
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.29667483840505,-119.02330538508537
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.299401899023565,-119.02070219764771
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.3014826567819,-119.01989619414051
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.302845877824716,-119.01816756424267
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.30355425339834,-119.0192727911811
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.305447547902325,-119.01802150446565
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.306521789192146,-119.01619693449545
