,week,acres,nb_tweets
0,1,0.0,92
1,2,0.0,70
2,3,0.0,70
3,4,0.0,321
4,5,0.0,325
5,6,0.0,60
6,7,0.0,80
7,8,0.0,58
8,9,0.0,71
9,10,0.0,95
10,11,0.0,475
11,12,0.0,427
12,13,0.0,155
13,14,0.0,135
14,15,0.0,58
15,16,0.0,64
16,17,0.0,147
17,18,0.0,227
18,19,132.467453,607
19,20,3882.60430181,94
20,21,59.589740750000004,122
21,22,4160.31022621,679
22,23,5655.853664329999,489
23,24,20946.44854571,3311
24,25,73433.91178144,12366
25,26,32361.909312779997,4266
26,27,20782.45579408,1301
27,28,12662.53131736,452
28,29,185543.39194710998,4998
29,30,187724.86734197,8888
30,31,152633.57945602998,2378
31,32,201326.89368942002,1315
32,33,259435.47268588998,14289
33,34,224715.92194531998,4311
34,35,223949.42914354,897
35,36,180255.06427009,291
36,37,156013.03321723003,299
37,38,158585.00408053002,930
38,39,161392.59754619,679
39,40,162358.67809775,914
40,41,27814.61560844,233
41,42,27110.170967239996,217
42,43,29750.12580224,86
43,44,29821.81379052,106
44,45,24206.43965052,113
45,46,18491.8671425,715
46,47,11377.7887725,311
47,48,7803.115738500001,147
48,49,7803.115738500001,40
49,50,0.0,70
50,51,0.0,439
51,52,0.0,97
