,week,acres,nb_tweets
0,1,0,1202
1,2,0,2340
2,3,0,3980
3,4,0,38619
4,5,0,11318
5,6,0,1522
6,7,0,21322
7,8,0,6098
8,9,0,1026
9,10,0,1255
10,11,0,1414
11,12,0,1551
12,13,0,1019
13,14,0,1917
14,15,0,2412
15,16,0,1818
16,17,0,4239
17,18,0,2634
18,19,0,1901
19,20,0,3149
20,21,0,3426
21,22,0,3293
22,23,0,2098
23,24,0,8795
24,25,0,6736
25,26,0,7259
26,27,0,6759
27,28,0,15199
28,29,0,14969
29,30,0,9712
30,31,0,28149
31,32,0,17779
32,33,0,18043
33,34,0,14709
34,35,0,22950
35,36,0,11135
36,37,0,31936
37,38,0,11063
38,39,0,6618
39,40,0,4120
40,41,0,4805
41,42,0,2936
42,43,0,4678
43,44,0,1985
44,45,0,1959
45,46,0,7225
46,47,0,2723
47,48,0,1835
48,49,0,2563
49,50,0,1570
50,51,0,991
51,52,0,920
