,week,acres,nb_tweets
0,1,0.0,57039
1,2,0.0,10566
2,3,0.0,2696
3,4,0.0,2205
4,5,0.0,1873
5,6,0.0,1441
6,7,0.0,1155
7,8,13.99215603,1033
8,9,219.89146800999998,9541
9,10,4.36604691,1198
10,11,4.36604691,1620
11,12,4.36604691,1678
12,13,4.36604691,3112
13,14,4.36604691,699
14,15,4.36604691,923
15,16,4.36604691,612
16,17,4.36604691,3232
17,18,4.36604691,558
18,19,4.36604691,1448
19,20,26.236572269999996,1588
20,21,4.36604691,624
21,22,1342.1349148000002,629
22,23,2155.09349457,592
23,24,4021.3706246100005,2195
24,25,2225.76147815,4614
25,26,2417.89592898,931
26,27,8319.57205931,784
27,28,5841.926396409999,1570
28,29,39771.07224171,1258
29,30,123962.61632643,1196
30,31,321486.77613353,1435
31,32,274955.66760836,2140
32,33,1975450.70055424,6688
33,34,2915879.575029521,195497
34,35,2849604.6935059708,95402
35,36,3162354.337096611,37718
36,37,2766888.70470716,256407
37,38,2469854.07958466,137792
38,39,2482184.2778811604,53308
39,40,2484415.5077084606,56275
40,41,2473923.1653749603,26423
41,42,2416927.9973152704,58842
42,43,2233339.75695995,8435
43,44,2236896.00527885,15804
44,45,2208970.6013086103,2675
45,46,1148302.37053901,3618
46,47,1013458.389988,4283
47,48,1010741.5264210701,1772
48,49,679344.9988759999,3409
49,50,516103.083252,3670
50,51,514148.43225099996,1669
51,52,134266.18225100002,1932
