,week,acres,nb_tweets
0,1,0.0,8
1,2,0.0,14
2,3,0.0,24
3,4,79.82505035,36
4,5,79.82505035,48
5,6,7129.77713805,43
6,7,79.82505035,89
7,8,101.88705444,24
8,9,231.69028469,50
9,10,22.06200409,83
10,11,22.06200409,47
11,12,22.06200409,137
12,13,28.65672588,24
13,14,134.00655369,137
14,15,134.00655369,86
15,16,1182.6958846900002,231
16,17,29.57398605,280
17,18,22.06200409,237
18,19,22.06200409,1297
19,20,22.06200409,253
20,21,42.92701912,54
21,22,22.06200409,67
22,23,25.43271566,62
23,24,1585.15706661,127
24,25,36122.00452779,917
25,26,33114.03979129,3395
26,27,33378.8449842,336
27,28,33819.164125589996,712
28,29,42717.79094139,2660
29,30,57551.38501378,2561
30,31,516701.7170805001,15442
31,32,469379.49049138,22820
32,33,404093.48151982995,9089
33,34,377725.35501178994,5036
34,35,349706.01806275,1757
35,36,306876.6922646499,681
36,37,449125.06140185,14398
37,38,449788.4874576901,42846
38,39,448625.4217128801,7313
39,40,376542.0115071101,2939
40,41,292581.48777848,604
41,42,292519.28702623,1168
42,43,292610.84753492003,645
43,44,198309.45779403998,791
44,45,38492.19160273,519
45,46,38305.74305921,633
46,47,38305.74305921,822
47,48,31309.55702421,156
48,49,31309.45621484,84
49,50,31284.44141,65
50,51,31284.44141,151
51,52,32571.829594,737
