,week,acres,nb_tweets
0,1,0.0,4457
1,2,0.0,34068
2,3,0.0,15061
3,4,0.0,4011
4,5,0.0,8782
5,6,0.0,3299
6,7,0.0,4222
7,8,0.0,1801
8,9,0.0,2098
9,10,0.0,6174
10,11,586.96285442,3288
11,12,22.74746132,4929
12,13,22.74746132,1327
13,14,0.0,2240
14,15,0.0,2020
15,16,0.0,2091
16,17,0.0,2738
17,18,0.0,1771
18,19,77.50117874,2245
19,20,64.90493011,1893
20,21,827.6632499699999,2582
21,22,762.7583198599999,1738
22,23,4650.17683211,2517
23,24,1495.87435819,2579
24,25,1868.40542217,2333
25,26,1762.7861671100002,2014
26,27,2035.9558276700002,1454
27,28,3507.18727304,2217
28,29,1699.5464343400001,4225
29,30,24643.53613706,2112
30,31,25833.48300593,14282
31,32,26075.51063655,1534
32,33,25420.431906179998,1405
33,34,27214.52612121,8822
34,35,28680.03074044,1913
35,36,62272.37614131001,2594
36,37,50765.355238330005,2253
37,38,36276.837990160006,3746
38,39,35696.19759111001,7862
39,40,41354.1519114,1440
40,41,54176.48872759,30361
41,42,47853.458183040006,3752
42,43,130195.17245313003,40378
43,44,131247.28595408,165875
44,45,42564.21266171001,67921
45,46,38007.48045163001,8223
46,47,25945.31667183,3536
47,48,28598.926614650005,3069
48,49,13202.62272433,4822
49,50,6634.95109333,2014
50,51,0.0,2534
51,52,0.0,2383
