,week,acres,nb_tweets
0,1,0.0,93
1,2,0.0,75
2,3,0.0,49
3,4,0.0,111
4,5,0.0,33
5,6,0.0,41
6,7,0.0,59
7,8,0.0,44
8,9,0.0,75
9,10,86.70772934,72
10,11,86.70772934,104
11,12,153.70636367999998,36
12,13,487.99544904,124
13,14,53.36272812,63
14,15,53.36272812,65
15,16,53.36272812,368
16,17,1064.76186943,296
17,18,53.36272812,78
18,19,77.76330948,136
19,20,13113.023248120002,51
20,21,64.1344223,100
21,22,124.59264755,64
22,23,1481.8953211199998,48
23,24,1839.28550725,135
24,25,20139.855651219998,173
25,26,23449.77130693,1500
26,27,124281.04947474001,5168
27,28,287422.56083985005,11574
28,29,258870.45134452,4431
29,30,223156.0728029801,1402
30,31,235357.65866998,210
31,32,388943.38032207993,146
32,33,381729.26201435993,185
33,34,378539.39389830997,83
34,35,373000.77754110994,7799
35,36,330913.08669821994,9749
36,37,317793.93273912,1821
37,38,308594.05394805997,1095
38,39,326320.8518231799,720
39,40,550843.7798207699,125
40,41,457574.54838406993,301327
41,42,424030.21327844996,63067
42,43,363018.96662765,14882
43,44,150190.17710675,6301
44,45,149323.01140751998,3053
45,46,29509.648932749995,11155
46,47,28984.575002009995,2318
47,48,18737.9178498,1874
48,49,28540.737795999998,215567
49,50,22493.019045999998,55372
50,51,0.0,17440
51,52,0.0,7564
