OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape__Area,Shape__Length
21476,2020,CA,CDF,BTU,AVOCADO,7464,2020/06/30 00:00:00+00,2020/07/11 00:00:00+00,14,,136,137.5814056,1,1,,933389.975,4076.504034
21477,2020,CA,CDF,BTU,HONCUT,6966,2020/06/20 00:00:00+00,2020/06/22 00:00:00+00,14,,89,88.1860199,1,1,,597747.5029,4162.198454
21478,2020,CA,CDF,BTU,GRAND,12308,2020/10/15 00:00:00+00,2020/10/20 00:00:00+00,14, ,30,31.06109047,1,1,,211492.5058,3068.50147
21479,2020,CA,CCO,ORC,PARK FIRE,20075598,2020/07/05 00:00:00+00,2020/07/07 00:00:00+00,14, ,21,24.09783936,1,1,,141579.5073,2020.079466
21480,2020,CA,CDF,ORC,SILVERADO,20121364,2020/10/26 00:00:00+00,2020/11/02 00:00:00+00,14, ,0,12469.2002,7,1,,73125983.46,65362.59357
21481,2020,CA,CDF,ORC,BLUE RIDGE,20121612,2020/10/26 00:00:00+00,2020/11/02 00:00:00+00,14, ,0,13694.53027,7,1,,80671871.27,65838.87538
21482,2020,CA,CDF,ORC,BOND,20136890,2020/12/03 00:00:00+00,2020/12/07 00:00:00+00,14, ,0,6681.101074,7,1,,39200475.4,52771.36548
21483,2020,CA,CDF,BTU,CLARK,9565,2020/08/14 00:00:00+00,2020/08/14 00:00:00+00,14,,110,106.7851028,1,1,,729464.8671,5533.236416
21484,2020,CA,CDF,NEU,DULUTH,18540,2020/08/10 00:00:00+00,2020/08/12 00:00:00+00,10,,65,71.94994354,1,1,,480239.2076,5784.257079
21485,2020,CA,CDF,NEU,KARCHNER,2117,2020/06/05 00:00:00+00,2020/06/06 00:00:00+00,2,,30,30.02492905,1,1,,201532.5878,1974.730536
21486,2020,CA,LRA,NEU,SIMPSON,24660,2020/10/15 00:00:00+00,2020/10/17 00:00:00+00,14,Yuba City Fire,29,28.57456017,6,1,,192491.0701,1971.429707
21487,2020,CA,CDF,NEU,WATT,12647,2020/06/11 00:00:00+00,2020/06/13 00:00:00+00,14,,40,39.86605835,1,1,,265518.1792,3532.947958
21488,2020,CA,CDF,NEU,LOCUST,31508,2020/12/31 00:00:00+00,2020/01/31 00:00:00+00,5,,16,15.85951042,1,1,,105708.1605,1604.873418
21489,2020,CA,CDF,BTU,GARDEN,5015,2020/05/06 00:00:00+00,2020/05/09 00:00:00+00,2,,50,49.00991058,1,1,,334118.9326,3611.378663
21490,2020,CA,CDF,BTU,FEATHER,8456,2020/07/20 00:00:00+00,2020/07/22 00:00:00+00,14,,14.9,14.74075031,1,1,,100343.8994,1522.437471
21491,2020,CA,CDF,SKU,BADGER,5356,2020/07/18 00:00:00+00,2020/07/19 00:00:00+00,10, ,557,557.3060303,1,1,,4060376.107,13506.56665
21492,2020,CA,CDF,SKU,MINER,5595,2020/07/25 00:00:00+00,2020/07/25 00:00:00+00,14,,22,23.13611031,1,1,,166418.5277,2899.109655
21493,2020,CA,CDF,SKU,JENNY 2-3,5678,2020/07/27 00:00:00+00,2020/07/27 00:00:00+00,1,From ODF aka Jenny Creek Fed Inc# ORMED-000227,12,14.63708019,1,1,,107366.6792,1594.562538
21494,2020,CA,CDF,SKU,SCHOOLHOUSE,7096,2020/09/09 00:00:00+00,2020/09/09 00:00:00+00,14,,36,37.06404114,1,1,,269098.1405,2367.926695
21495,2020,CA,CDF,SKU,TOWNSEND,3484,2020/05/17 00:00:00+00,2020/05/17 00:00:00+00,5,,13.74,13.73042965,1,1,,99819.97967,1808.098667
21496,2020,CA,CDF,SKU,SHACKLEFORD,7137,2020/09/11 00:00:00+00,2020/09/11 00:00:00+00,14,,37,37.65026855,1,1,,272468.9427,2903.044779
21497,2020,CA,CDF,TCU,MOC,9457,2020/08/20 00:00:00+00,2020/09/05 00:00:00+00,9,Cause= Weed Eating,2857.36,2857.60498,1,1,,18547049.61,24671.34816
21498,2020,CA,CDF,TCU,SALT,9353,2020/08/18 00:00:00+00,2020/08/28 00:00:00+00,9,Cause = Grinding,1593.91,1593.732056,1,1,,10403242.59,16443.51696
21499,2020,CA,CDF,TCU,WALKER,6494,2020/06/16 00:00:00+00,2020/06/23 00:00:00+00,9,Cause = Grinding,1422,1398.004028,2,1,,9143297.869,19226.90335
21500,2020,CA,CCO,KRN,BAKER,2024545,2020/06/17 00:00:00+00,2020/06/18 00:00:00+00,14,,165.1797998,165.1797943,1,1,,1006161.88,7573.073402
21501,2020,CA,CCO,KRN,BENA,2027271,2020/07/01 00:00:00+00,2020/07/05 00:00:00+00,14,SRA,2884.443908,2884.443115,1,1,,17566953.15,21314.972
21502,2020,CA,CCO,KRN,FLAT,2028833,2020/07/09 00:00:00+00,2020/07/12 00:00:00+00,14,Crew 10,40.09774479,40.09772873,1,1,,244002.3848,3515.808805
21503,2020,CA,CCO,KRN,COMANCHE,2031924,2020/07/26 00:00:00+00,2020/07/27 00:00:00+00,14,,66.11648805,66.11647797,1,1,,401194.1547,4069.537767
21504,2020,CA,CCO,KRN,SHEEP,2032616,2020/07/30 00:00:00+00,2020/07/30 00:00:00+00,14,,233.0561774,233.0561066,1,1,,1413545.791,7205.225392
21505,2020,CA,CCO,KRN,RESERVE,2033499,2020/08/04 00:00:00+00,2020/08/05 00:00:00+00,14,West wind. ,11.50082577,11.50082016,1,1,,70018.63708,1757.170789
21506,2020,CA,CCO,KRN,JOHNSON,2033650,2020/08/05 00:00:00+00,2020/08/06 00:00:00+00,14,,37.95109591,37.95109177,1,1,,230876.136,2953.056531
21507,2020,CA,BLM,CND,SODA,34749,2020/06/17 00:00:00+00,2020/06/17 00:00:00+00,1,IRWINID 3c1195d7-ac3c-4a9c-b918-007c11227750 KRN inc# 034749,,421.4699097,1,1,,2545329.887,8257.52921
21508,2020,CA,CCO,KRN,WOODY,2035078,2020/08/14 00:00:00+00,2020/08/14 00:00:00+00,14,,90.57170268,90.57169342,1,1,,555702.7011,3524.333234
21509,2020,CA,CCO,KRN,BLUE,2035487,2020/08/16 00:00:00+00,2020/08/17 00:00:00+00,14,Crew 10,19.89914145,19.8991394,1,1,,120367.2063,1994.094611
21510,2020,CA,CCO,KRN,SHERWOOD,2037640,2020/08/29 00:00:00+00,2020/08/29 00:00:00+00,14,,41.18887316,41.18886948,1,1,,273941.7967,2299.939726
21511,2020,CA,CCO,KRN,VISTA ,2039431,2020/09/09 00:00:00+00,2020/09/09 00:00:00+00,14,,34.7179629,34.71796036,1,1,,210541.7461,2535.847867
21512,2020,CA,CCO,KRN,GARCES,2041011,2020/09/19 00:00:00+00,2020/09/19 00:00:00+00,14,,10.84567745,10.84566975,1,1,,66796.20806,1328.693797
21513,2020,CA,CCO,KRN,LILAC,2045515,2020/10/18 00:00:00+00,2020/10/19 00:00:00+00,14,C10,52.84682059,52.84680939,1,1,,320521.6258,3232.548108
21514,2020,CA,CCO,KRN,WATER,2052313,2020/12/02 00:00:00+00,2020/12/03 00:00:00+00,14,Perimeter goes all the way to the freeway ,22.36359649,22.36359024,1,1,,134343.5957,2196.957677
21515,2020,CA,CCO,KRN,STAGECOACH,2033315,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,14,,7750,7750.637207,1,1,,47373861.85,46920.3382
21516,2020,CA,CDF,MMU,HUNTERS,11682,2020/06/07 00:00:00+00,2020/06/11 00:00:00+00,2,,80,82.14009857,1,1,,530471.3819,4659.651118
21517,2020,CA,CDF,MMU,PASS,13431,2020/06/28 00:00:00+00,2020/07/01 00:00:00+00,11,,2192,2163.662109,1,1,,13770400.12,16695.52567
21518,2020,CA,CDF,MMU,POWER,14707,2020/07/11 00:00:00+00,2020/07/15 00:00:00+00,11,,108,151.5494995,1,1,,967344.6758,5184.749506
21519,2020,CA,CDF,MMU,BEN,15036,2020/07/15 00:00:00+00,2020/07/17 00:00:00+00,11,,48,48.12535095,1,1,,309356.2399,2971.192793
21520,2020,CA,CDF,MMU,HENSLEY,19014,2020/08/30 00:00:00+00,2020/09/02 00:00:00+00,7,,400,398.4815064,1,1,,2538309.842,14750.30341
21521,2020,CA,CDF,SHF,FRANCISCAN,8178,2020/08/15 00:00:00+00,2020/08/15 00:00:00+00,2,,15,15.77985001,1,1,,110504.7262,2337.834049
21522,2020,CA,CDF,SHU,BAR,3809,2020/04/25 00:00:00+00,2020/04/26 00:00:00+00,5,,55,57.78562927,1,1,,406463.1374,6053.002952
21523,2020,CA,CDF,SHU,LEOPARD,5006,2020/05/31 00:00:00+00,2020/05/31 00:00:00+00,7,,16,16.62899971,1,1,,116484.6804,2867.553878
21524,2020,CA,CCO,SBC,DRUM,2012322,2020/06/14 00:00:00+00,2020/06/17 00:00:00+00,2,SBC 6756,696,695.4705811,1,1,,4167186.653,18011.62011
21525,2020,CA,CCO,SBC,TWITCHELL,2011706,2020/06/06 00:00:00+00,2020/06/06 00:00:00+00,1,SBC 6375,28,28.68454933,1,1,,173213.1077,3330.00789
21526,2020,CA,CCO,SBC,BALLARD,2023312,2020/10/31 00:00:00+00,2020/10/31 00:00:00+00,14,SBC 12726,17,17.29714012,1,1,,103688.5018,2112.363662
21527,2020,CA,CCO,SBC,GAREY,2025625,2020/11/29 00:00:00+00,2020/12/01 00:00:00+00,2,SBC 13884,12,12.15279007,1,1,,73228.83023,2428.688985
21528,2020,CA,CDF,SHU,PLATINA,7049,2020/07/19 00:00:00+00,2020/07/21 00:00:00+00,9,,350,339.4666138,1,1,,2374022.109,9206.192733
21529,2020,CA,CDF,SHU,ROSA,1895,2020/02/26 00:00:00+00,2020/02/26 00:00:00+00,5,,14,10.7585001,1,1,,93994.50653,1973.219331
21530,2020,CA,CDF,SHU,SPRINGS,7944,2020/08/09 00:00:00+00,2020/08/09 00:00:00+00,8,,10.25,10.29981995,1,1,,72441.70567,1425.501396
21531,2020,CA,CDF,SHU,PINES,8109,2020/08/13 00:00:00+00,2020/08/13 00:00:00+00,9,,10.2,15.73703003,1,1,,109947.4238,1828.767568
21532,2020,CA,CDF,BDU,BRUDER,14963,2020/10/14 00:00:00+00,2020/10/15 00:00:00+00,14,,170,169.5484924,1,1,,1001062.045,5739.959449
21533,2020,CA,CCO,SBC,HOLLISTER,2010146,2020/05/07 00:00:00+00,2020/05/10 00:00:00+00,11,SBC 5172,156,157.017807,1,1,,937233.6867,5267.798345
